Sample  H1_BA9 H2_BA9 H3_BA9 H4_BA9 H5_BA9 H6_BA9 H7_BA9 H8_BA9 H9_BA9 H10_BA9 H11_BA9 H12_BA9 H13_BA11 H14_BA11 H15_BA11 H16_BA11 H17_BA11 H18_BA11 H19_BA11 H20_BA11 H21_BA46 H22_BA46 H23_BA46 H24_BA46 H25_BA46 H26_BA46 H27_BA46 H28_BA46 H29_BA46 H30_BA46 H31_BA46 H32_BA46 H33_BA46 H34_BA46 H35_BA46 H36_BA46 H37_BA46 H38_BA46 H39_BA46 H40_BA46 H41_BA46 H42_BA9 H43_BA9 H44_BA9 H45_BA9 H46_BA9 H47_BA9 H48_BA9 H49_BA9 H50_BA9 H51_BA9 H52_BA4 H53_BA4 H54_BA4 H55_BA4 H56_BA4 H57_BA4 H58_BA4 H59_BA4 H60_BA4 H61_BA4 H62_BA4 H63_BA4 H64_BA4 H65_BA4 H66_BA4 H67_BA4 
TCEAL1 481.4796717 305.1570429 449.717518 246.5732474 328.7773185 330.4696412 323.3819531 452.6994842 369.0907184 405.2087634 364.0592358 275.2236679 357.6618549 387.5738249 526.5195348 358.3361083 346.5567399 537.3356839 269.2945185 355.2497934 297.8049804 389.1191288 372.9268444 274.8020317 370.1190335 354.7342101 459.7795018 356.3642046 440.249712 319.324354 291.6553576 385.8957446 314.4838947 298.758861 438.4905236 352.3591981 373.8527331 482.0395863 391.3304953 242.2064465 335.3443801 418.3146899 370.5772653 243.0992268 538.1964154 298.8905072 476.2558702 439.414028 341.1580903 294.1028454 354.0340612 247.7134333 431.983369 475.771039 415.356603 400.2069532 552.8770157 421.4797135 270.5611069 405.0333004 230.2852395 452.6833182 414.3316393 311.7019064 306.0360288 247.1063296 364.1833518 
TUBB2A 5860.731202 4700.012726 6703.888098 5935.772099 5935.772099 6194.798125 5089.237621 5051.978533 5089.237621 5051.978533 4700.012726 5166.259113 5860.731202 6319.869733 7470.869047 5860.731202 5297.724001 5800.324192 5800.324192 5935.772099 5572.454856 5572.454856 6738.180226 6310.160609 5137.90772 5460.120085 5509.551982 5959.143973 5509.551982 4832.22839 5013.464746 5460.120085 5509.551982 4832.22839 5572.454856 5801.883654 4877.780981 4617.578997 5871.426913 5871.426913 5460.120085 6265.225089 4998.223801 6041.260939 5210.381357 4724.472977 5699.544209 6265.225089 6092.206913 4413.800199 4851.938384 4529.02795 6117.006684 5386.863327 5434.653612 5820.410134 6292.673207 5695.420546 5695.420546 6292.673207 5036.353346 5182.899856 5761.289577 4134.991745 6174.993199 5489.089279 4755.376481 
ANKRD6 125.2382696 64.71453894 124.6597162 73.32981474 93.4405281 109.3211221 108.9429827 64.38051581 74.27390276 88.18691142 92.37417499 80.49429576 99.64579553 121.7669499 136.8710977 98.92859109 143.6939928 150.3807577 97.97694035 96.67866171 99.02961228 121.2982404 101.1341069 64.13598639 91.28357411 131.6394279 59.10923919 122.2421101 99.3941549 65.54095337 109.6959324 115.6823134 108.7205346 103.5381178 88.68842475 82.20350704 81.27146022 95.16940146 138.2859266 107.8968653 95.48271102 87.27259242 95.21849824 74.01311677 78.23327564 105.3403598 140.0211826 136.3728573 112.0678934 52.51298974 109.1951428 67.6630852 141.2819761 84.40628578 96.66727478 113.1971768 137.429363 103.0956517 75.74195162 88.50308894 61.05524326 130.8597677 83.17650931 57.51595837 103.6590541 73.99584557 87.67637319 
ANKRD6 106.2573877 114.3299199 134.6663812 112.7786106 131.2958614 134.949166 122.2936886 90.02187798 106.00208 128.5527346 89.24908561 126.4587535 162.5281231 180.7580097 227.4506989 175.9220466 159.2331653 213.4305274 117.9637614 133.198648 119.7372511 191.0490253 132.4753468 126.2970386 125.0302781 153.3986642 138.6101165 163.7856856 106.5907234 170.0427775 139.5389359 123.4297231 141.9045231 87.99982106 119.8035952 155.6668082 77.77244047 138.871347 152.3371563 93.90031267 118.2320659 106.3867734 137.4324247 103.9856721 100.5789405 155.0977839 162.4140621 167.2289943 162.6702433 73.01639764 163.6297291 87.35975764 206.5477295 115.3730981 129.096343 134.4356584 175.8960446 142.8677622 101.5695627 126.7149281 100.9031519 173.1774097 103.7309818 107.0710648 164.5526088 85.01367049 119.1949239 
RNF2 47.89351699 34.57299485 28.10381532 9.318498962 49.06208066 36.65488691 28.19211293 28.61290622 19.97491667 39.97708446 27.11046722 20.78477131 60.44005541 25.22310582 55.76028211 44.70928446 57.31100888 45.9895998 45.01142784 44.32988067 30.99239698 78.77628147 36.60182855 31.89516487 25.87379065 43.31415619 41.65031698 32.53645145 31.6964975 24.32389302 12.57768486 36.25123908 63.35618778 27.40908039 43.48360777 33.80879908 30.00490329 59.9394012 26.24337039 25.98042829 53.77048725 13.64198144 32.89807011 22.59859952 18.8741445 45.28784506 39.01533143 61.16519521 37.34436837 47.52699958 42.9574598 14.6278401 65.79560118 38.54228707 23.77422091 47.13571524 59.36714885 26.01020434 24.2289716 44.11260523 17.37145218 49.48954103 28.98194716 38.4486175 49.98659409 36.06004332 18.25073756 
SNX7 166.9876882 136.4751681 145.3476031 169.8483455 175.2930835 179.5910127 158.0342476 140.5242942 151.0075847 112.3725107 168.3682562 148.1168396 168.7142662 114.7610206 225.6693502 199.1966985 178.7300382 221.0161533 152.3152476 147.2107333 133.3721791 193.3784284 203.0841938 138.4839078 186.0559633 135.8475136 162.8307685 151.2248819 170.7917203 141.0071767 154.2505038 180.1427709 130.4385913 170.7917203 183.4502472 159.0842127 158.6892329 127.8213709 133.7364808 171.0103013 114.1830641 131.7572839 133.4783482 149.7806057 192.1103936 180.8571513 188.0386072 157.605152 175.9995521 153.2630325 115.7891648 129.2163211 196.7028302 116.1161909 177.5222739 155.6996092 192.9581587 154.5037402 135.4584772 173.2706409 153.660878 190.2211893 117.3727086 124.9740187 153.1461412 117.8267967 133.7121042 
PTPRR 105.5344219 103.5526796 123.2322026 68.24386101 103.5815939 106.9612317 101.6365507 97.99334781 103.5037477 97.75980919 117.5327476 105.4209887 120.2039849 128.7470508 192.5709377 85.46789196 142.1243667 218.4892787 120.5086972 87.40403851 161.6383851 124.3842407 138.20393 93.05428399 105.7448735 111.0522571 150.8719783 110.3104529 97.08912504 84.36165031 110.3104529 94.93133549 132.9457267 68.68540143 73.60958785 123.8862894 85.92107847 121.8125162 124.7858805 91.9661679 144.9047579 110.3537922 147.4476814 75.03831315 108.2275003 98.0796431 130.2267443 177.1206087 103.1247115 73.98062718 109.1993857 102.295888 156.6367951 133.7457135 119.3209684 115.0813315 162.208942 134.9987535 79.661698 68.436086 76.18903996 122.7252452 105.8092052 106.8681903 129.6188133 78.41605059 86.58114012 
GABRA5 383.2499079 431.1543792 527.3730319 518.5022237 417.8329491 555.4334889 529.6369726 398.8352787 440.8680195 226.4058718 584.7663883 548.8874926 832.3342796 708.0095167 1182.813145 698.1963754 530.856738 763.7804212 463.9663023 703.6993669 501.8515977 692.8930495 481.4968639 453.5443466 544.3761371 216.1774057 572.4377233 666.0785533 553.6202442 816.6286756 609.4388469 661.1190034 718.900847 543.8801821 344.6276912 430.6913168 441.5426473 524.8816074 732.1722733 273.6546795 664.0741544 422.4838921 533.175035 457.8863241 609.5858863 563.2213678 712.4141876 875.9056546 760.0532943 280.5016892 333.0348371 338.1899413 988.2951012 335.3536015 714.2765206 570.0378908 779.687188 600.3370552 512.0561744 687.7312897 289.4955741 646.4983683 487.584427 309.3344785 569.4932145 337.3636427 462.2724546 
IL12RB2 44.83617865 51.46988806 49.48550068 25.94741326 34.51996674 43.77957369 13.81857734 35.13545214 25.85112167 27.62731103 57.73664848 31.26296896 39.69368755 24.42366399 66.84270939 18.44707957 45.28900934 49.64034796 28.10616648 26.81273628 32.86221032 37.67668081 45.22897399 35.33742552 40.6081998 48.41751305 31.9477403 36.21650872 37.45504754 24.25203736 24.5220947 7.284986605 20.16579045 30.13928736 34.81221056 60.02997863 56.71292952 48.0226706 52.81292905 40.29716823 36.60762625 43.04195932 18.97287139 18.39606331 60.19946975 51.54987846 38.62861856 27.84382543 46.74314447 18.57062365 19.97849073 16.98153161 62.37639762 44.92305821 45.27785149 25.56348301 51.38558661 27.30321495 37.01645893 35.06820814 36.5091668 50.03955072 47.03625676 15.4316452 30.52125221 11.96307409 28.61346029 
HTR2C 63.98297924 61.12951158 57.06675942 41.6589216 81.26354389 86.14727822 72.36809144 52.03547021 74.40612414 24.41829663 53.59089854 63.661243 85.20536761 83.79971303 151.2411771 59.80484581 49.36616882 82.85225528 53.83608375 49.7300636 77.93881753 120.1120957 62.66271898 60.51066693 48.17107812 54.42244224 75.4934616 81.46367053 16.27731955 53.13294653 52.0638626 69.35143561 85.32521555 42.13318368 49.00586605 62.88660182 68.02722939 84.76811176 77.61600972 90.71402332 44.86837242 45.60519773 50.03718716 53.37611961 62.15142013 60.81931718 77.63543019 102.5887452 78.371846 56.03261437 52.06136676 67.24160446 91.59003593 43.53074003 61.61073723 71.76696557 102.0816206 70.00049544 47.50627269 61.24808442 39.33878554 68.47774361 39.19645407 57.41488324 95.73324676 47.5491671 48.6527235 	
